Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,31,2022-12-21,34-083,BRK,,GSW,W (+30),1,29:06:00,9,17,0.529,1,3,0.333,4,4,1,0,7,7,5,4,0,2,2,23,21.5,29
33,32,2022-12-23,34-085,BRK,,MIL,W (+18),1,34:14:00,9,17,0.529,2,6,0.333,4,4,1,0,5,5,6,1,1,3,2,24,19.3,17
34,33,2022-12-26,34-088,BRK,@,CLE,W (+8),1,36:27:00,10,18,0.556,5,8,0.625,7,8,0.875,1,8,9,5,0,0,4,6,32,23.2,10
35,34,2022-12-28,34-090,BRK,@,ATL,W (+1),1,36:27:00,8,17,0.471,1,4,0.25,9,9,1,1,15,16,8,0,2,4,3,26,24.3,9
36,35,2022-12-31,34-093,BRK,@,CHO,W (+17),1,29:48:00,9,15,0.6,1,6,0.167,4,4,1,0,5,5,4,0,0,3,3,23,16.2,21
37,36,2023-01-02,34-095,BRK,,SAS,W (+36),1,28:40:00,10,14,0.714,0,1,0,5,5,1,0,3,3,11,3,1,2,1,25,29.1,21
38,37,2023-01-04,34-097,BRK,@,CHI,L (-9),1,38:29:00,15,22,0.682,5,10,0.5,9,9,1,0,4,4,5,1,2,3,2,44,37.9,-3
39,38,2023-01-06,34-099,BRK,@,NOP,W (+6),1,37:52:00,9,26,0.346,4,7,0.571,11,11,1,1,9,10,3,0,2,4,1,33,20.9,20
40,39,2023-01-08,34-101,BRK,@,MIA,W (+1),1,30:09:00,5,11,0.455,1,3,0.333,6,7,0.857,1,4,5,2,1,0,4,1,17,10.8,-2
41,,2023-01-12,34-105,BRK,,BOS,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2023-01-15,34-108,BRK,,OKC,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2023-01-17,34-110,BRK,@,SAS,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,2023-01-19,34-112,BRK,@,PHO,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
