Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
49,38,2023-01-28,30-311,BRK,,NYK,W (+7),1,41:21:00,12,27,0.444,5,12,0.417,3,6,0.5,2,4,6,9,2,0,3,4,32,23,17
50,39,2023-01-30,30-313,BRK,,LAL,W (+17),1,38:32:00,7,16,0.438,3,7,0.429,9,11,0.818,1,6,7,6,2,1,2,4,26,22.6,10
51,40,2023-02-01,30-315,BRK,@,BOS,L (-43),1,31:01:00,9,18,0.5,1,7,0.143,1,1,1,0,4,4,4,0,1,3,2,20,11.9,-31
52,,2023-02-04,30-318,BRK,,WAS,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2023-02-06,30-320,DAL,@,UTA,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,41,2023-02-08,30-322,DAL,@,LAC,W (+6),1,36:48:00,9,17,0.529,4,8,0.5,2,2,1,0,4,4,5,1,1,5,3,24,15.9,11
55,42,2023-02-10,30-324,DAL,@,SAC,W (+8),1,35:00:00,5,14,0.357,3,8,0.375,12,12,1,3,0,3,10,1,0,2,2,25,24.5,7
56,43,2023-02-11,30-325,DAL,@,SAC,L (-5),1,41:52:00,11,21,0.524,4,10,0.4,2,2,1,1,6,7,7,1,1,1,5,28,23.8,7
57,44,2023-02-13,30-327,DAL,,MIN,L (-3),1,39:50:00,15,23,0.652,4,9,0.444,2,2,1,2,3,5,6,2,1,2,2,36,32.3,1
58,,2023-02-15,30-329,DAL,@,DEN,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,45,2023-02-23,30-337,DAL,,SAS,W (+26),1,29:58:00,8,13,0.615,3,4,0.75,4,4,1,0,1,1,6,1,0,1,3,23,20.4,34
60,46,2023-02-26,30-340,DAL,,LAL,L (-3),1,37:51:00,8,22,0.364,2,10,0.2,3,3,1,3,8,11,5,0,0,3,4,21,12.2,-6
61,47,2023-02-28,30-342,DAL,,IND,L (-2),1,36:23:00,7,18,0.389,0,4,0,2,3,0.667,2,3,5,9,1,1,0,4,16,14.5,8
62,48,2023-03-02,30-344,DAL,,PHI,W (+7),1,42:18:00,15,22,0.682,6,8,0.75,4,6,0.667,0,4,4,6,3,0,2,3,40,35,15
63,49,2023-03-05,30-347,DAL,,PHO,L (-4),1,36:40:00,10,19,0.526,3,8,0.375,7,7,1,2,2,4,7,0,0,3,3,30,23.4,-5
64,50,2023-03-07,30-349,DAL,,UTA,W (+4),1,38:40:00,10,18,0.556,3,7,0.429,10,10,1,0,6,6,8,2,0,3,2,33,30,7
65,51,2023-03-08,30-350,DAL,@,NOP,L (-7),1,41:06:00,10,24,0.417,4,11,0.364,3,3,1,0,6,6,4,1,0,2,3,27,16.6,0
66,,2023-03-11,30-353,DAL,@,MEM,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
67,,2023-03-13,30-355,DAL,,MEM,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,,2023-03-15,30-357,DAL,@,SAS,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,52,2023-03-17,30-359,DAL,@,LAL,W (+1),1,38:38:00,14,23,0.609,5,9,0.556,5,5,1,1,5,6,6,0,0,2,5,38,29.9,11
70,53,2023-03-20,30-362,DAL,@,MEM,L (-4),1,33:22:00,10,24,0.417,2,9,0.222,6,6,1,0,4,4,0,1,2,2,2,28,16,-7
71,,2023-03-22,30-364,DAL,,GSW,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,54,2023-03-24,31-001,DAL,,CHO,L (-8),1,38:29:00,6,16,0.375,1,8,0.125,5,7,0.714,3,6,9,7,1,1,1,0,18,17.9,-10
73,55,2023-03-26,31-003,DAL,@,CHO,L (-6),1,35:30:00,5,15,0.333,2,6,0.333,6,6,1,0,4,4,3,2,1,2,3,18,12.3,-8
74,56,2023-03-27,31-004,DAL,@,IND,W (+23),1,29:50:00,7,11,0.636,1,2,0.5,1,1,1,1,2,3,6,2,3,0,2,16,19.9,26
75,57,2023-03-29,31-006,DAL,@,PHI,L (-8),1,40:06:00,8,17,0.471,3,7,0.429,4,4,1,1,5,6,5,2,0,1,1,23,20.6,-1
76,58,2023-04-01,31-009,DAL,@,MIA,L (-7),1,42:30:00,10,17,0.588,1,4,0.25,2,2,1,0,3,3,8,0,0,1,3,23,19.4,4
77,59,2023-04-02,31-010,DAL,@,ATL,L (-2),1,44:22:00,16,27,0.593,1,6,0.167,8,8,1,2,3,5,4,2,1,1,3,41,34.1,-6
78,60,2023-04-05,31-013,DAL,,SAC,W (+4),1,43:23:00,12,23,0.522,6,10,0.6,1,1,1,0,4,4,8,2,0,3,3,31,24.3,8
79,,2023-04-07,31-015,DAL,,CHI,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,2023-04-09,31-017,DAL,,SAS,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,25-354,PHO,,DAL,W (+2),1,40:37:00,10,20,0.5,1,1,1,7,7,1,1,3,4,9,0,1,2,3,28,23.4,20
2,2,2022-10-21,25-356,PHO,@,POR,L (-2),1,43:55:00,11,23,0.478,3,7,0.429,8,9,0.889,0,5,5,3,1,0,2,1,33,23.1,-2
3,3,2022-10-23,25-358,PHO,@,LAC,W (+17),1,34:49:00,13,21,0.619,5,9,0.556,4,4,1,1,0,1,4,1,0,3,1,35,26.6,13
4,4,2022-10-25,25-360,PHO,,GSW,W (+29),1,35:19:00,10,19,0.526,3,8,0.375,11,14,0.786,1,1,2,7,3,0,3,3,34,28.2,32
5,5,2022-10-28,25-363,PHO,,NOP,W (+13),1,32:36:00,6,14,0.429,0,4,0,4,4,1,0,5,5,4,0,0,5,1,16,7.5,4
6,6,2022-10-30,26-000,PHO,,HOU,W (+15),1,35:23:00,14,24,0.583,1,7,0.143,1,3,0.333,1,2,3,6,1,0,1,2,30,22.7,11
7,7,2022-11-01,26-002,PHO,,MIN,W (+9),1,30:26:00,6,18,0.333,2,7,0.286,4,5,0.8,1,6,7,5,0,1,2,5,18,10.1,11
8,8,2022-11-04,26-005,PHO,,POR,L (-2),1,38:22:00,8,21,0.381,3,7,0.429,6,6,1,0,5,5,5,1,1,5,3,25,14,3
9,9,2022-11-05,26-006,PHO,,POR,W (+20),1,29:10:00,9,20,0.45,2,7,0.286,4,4,1,1,2,3,3,1,2,1,2,24,17.6,19
10,10,2022-11-07,26-008,PHO,@,PHI,L (-12),1,43:24:00,8,16,0.5,1,1,1,11,14,0.786,2,5,7,5,1,0,6,2,28,19.4,-9
11,11,2022-11-09,26-010,PHO,@,MIN,W (+12),1,38:10:00,12,23,0.522,5,7,0.714,3,3,1,0,4,4,10,2,0,1,2,32,29.1,26
12,12,2022-11-11,26-012,PHO,@,ORL,L (-17),1,34:28:00,6,19,0.316,2,8,0.25,3,3,1,3,5,8,6,1,0,2,2,17,12.1,-27
13,13,2022-11-14,26-015,PHO,@,MIA,L (-1),1,41:34:00,11,22,0.5,2,7,0.286,1,2,0.5,2,6,8,5,3,1,2,5,25,20,-7
14,14,2022-11-16,26-017,PHO,,GSW,W (+11),1,36:38:00,8,17,0.471,2,5,0.4,9,9,1,0,2,2,9,0,3,3,2,27,23.5,6
15,15,2022-11-18,26-019,PHO,@,UTA,L (-1),1,41:17:00,16,31,0.516,2,9,0.222,15,15,1,1,7,8,10,1,0,1,3,49,42.3,-4
16,16,2022-11-20,26-021,PHO,,NYK,W (+21),1,29:31:00,7,17,0.412,5,8,0.625,1,1,1,1,4,5,3,0,0,0,0,20,14.9,13
17,17,2022-11-22,26-023,PHO,,LAL,W (+10),1,35:27:00,10,24,0.417,2,6,0.333,3,3,1,1,3,4,5,0,0,4,6,25,10.9,4
18,18,2022-11-25,26-026,PHO,,DET,W (+6),1,35:42:00,8,17,0.471,2,7,0.286,3,7,0.429,0,7,7,5,1,1,2,2,21,15.2,10
19,19,2022-11-26,26-027,PHO,,UTA,W (+1),1,39:21:00,8,27,0.296,1,7,0.143,10,11,0.909,4,7,11,7,0,0,2,3,27,17.5,-4
20,20,2022-11-28,26-029,PHO,@,SAC,W (+5),1,40:39:00,17,28,0.607,1,6,0.167,9,9,1,0,8,8,4,6,0,6,4,44,34.8,14
21,21,2022-11-30,26-031,PHO,,CHI,W (+19),1,30:40:00,20,25,0.8,6,7,0.857,5,6,0.833,0,4,4,6,1,0,2,3,51,44.3,23
22,22,2022-12-02,26-033,PHO,,HOU,L (-1),1,33:52:00,15,25,0.6,4,6,0.667,7,10,0.7,0,4,4,8,0,0,3,3,41,30.9,8
23,23,2022-12-04,26-035,PHO,@,SAS,W (+38),1,27:48:00,7,16,0.438,1,3,0.333,5,5,1,0,0,0,8,0,0,2,2,20,14.4,26
24,24,2022-12-05,26-036,PHO,@,DAL,L (-19),1,30:20:00,4,13,0.308,1,2,0.5,2,2,1,0,2,2,5,0,0,1,4,11,5,-18
25,25,2022-12-07,26-038,PHO,,BOS,L (-27),1,24:37:00,6,17,0.353,1,6,0.167,4,4,1,1,4,5,3,0,1,2,5,17,8.2,-40
26,26,2022-12-09,26-040,PHO,@,NOP,L (-11),1,36:00:00,5,17,0.294,2,8,0.25,2,4,0.5,0,2,2,7,1,0,3,4,14,5.2,-18
27,,2022-12-11,26-042,PHO,@,NOP,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2022-12-13,26-044,PHO,@,HOU,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,27,2022-12-15,26-046,PHO,@,LAC,W (+16),1,34:53:00,6,22,0.273,1,9,0.111,1,1,1,1,3,4,4,1,0,2,1,14,4,4
30,28,2022-12-17,26-048,PHO,,NOP,W (+4),1,42:27:00,21,35,0.6,6,12,0.5,10,15,0.667,1,5,6,5,0,0,2,3,58,42.4,11
31,,2022-12-19,26-050,PHO,,LAL,W (+26),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
32,,2022-12-20,26-051,PHO,,WAS,L (-3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
33,,2022-12-23,26-054,PHO,,MEM,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,29,2022-12-25,26-056,PHO,@,DEN,L (-3),1,4:20,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1,-9
35,,2022-12-27,26-058,PHO,@,MEM,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2022-12-28,26-059,PHO,@,WAS,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2022-12-30,26-061,PHO,@,TOR,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2023-01-02,26-064,PHO,@,NYK,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2023-01-04,26-066,PHO,@,CLE,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2023-01-06,26-068,PHO,,MIA,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,2023-01-08,26-070,PHO,,CLE,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2023-01-10,26-072,PHO,@,GSW,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2023-01-11,26-073,PHO,@,DEN,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,2023-01-13,26-075,PHO,@,MIN,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,,2023-01-16,26-078,PHO,@,MEM,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,2023-01-19,26-081,PHO,,BRK,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,,2023-01-21,26-083,PHO,,IND,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,,2023-01-22,26-084,PHO,,MEM,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,2023-01-24,26-086,PHO,,CHO,W (+31),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,2023-01-26,26-088,PHO,,DAL,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2023-01-28,26-090,PHO,@,SAS,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2023-01-30,26-092,PHO,,TOR,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2023-02-01,26-094,PHO,,ATL,L (-32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2023-02-03,26-096,PHO,@,BOS,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,2023-02-04,26-097,PHO,@,DET,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,30,2023-02-07,26-100,PHO,@,BRK,W (+4),1,25:35:00,6,15,0.4,2,8,0.25,5,7,0.714,0,4,4,6,0,0,2,5,19,11.5,-3
57,,2023-02-09,26-102,PHO,@,ATL,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
58,31,2023-02-10,26-103,PHO,@,IND,W (+13),1,26:14:00,7,18,0.389,3,9,0.333,4,4,1,0,4,4,5,1,0,4,4,21,11.3,11
59,32,2023-02-14,26-107,PHO,,SAC,W (+11),1,29:14:00,13,20,0.65,0,0,,6,7,0.857,1,4,5,2,2,0,1,4,32,25.5,22
60,33,2023-02-16,26-109,PHO,,LAC,L (-9),1,34:41:00,6,16,0.375,1,6,0.167,6,7,0.857,0,3,3,9,0,1,5,5,19,10.7,-3
61,34,2023-02-24,26-117,PHO,,OKC,W (+9),1,36:00:00,9,21,0.429,1,7,0.143,6,6,1,2,4,6,8,0,0,3,1,25,18.7,-6
62,35,2023-02-26,26-119,PHO,@,MIL,L (-3),1,38:18:00,9,21,0.429,1,5,0.2,5,9,0.556,1,3,4,8,0,0,4,2,24,13.7,-1
63,36,2023-03-01,26-122,PHO,@,CHO,W (+14),1,33:10:00,15,26,0.577,3,7,0.429,4,6,0.667,2,4,6,7,0,2,1,1,37,31.5,9
64,37,2023-03-03,26-124,PHO,@,CHI,W (+21),1,35:51:00,12,24,0.5,6,10,0.6,5,6,0.833,2,3,5,6,1,1,0,3,35,29.6,23
65,38,2023-03-05,26-126,PHO,@,DAL,W (+4),1,39:57:00,15,25,0.6,1,3,0.333,5,6,0.833,2,3,5,10,1,0,1,4,36,31.8,17
66,39,2023-03-08,26-129,PHO,,OKC,W (+31),1,27:31:00,17,23,0.739,6,10,0.6,4,5,0.8,0,3,3,4,0,1,3,4,44,34.1,33
67,40,2023-03-11,26-132,PHO,,SAC,L (-9),1,38:30:00,11,19,0.579,2,6,0.333,4,4,1,1,2,3,8,4,0,4,5,28,24,-5
68,41,2023-03-13,26-134,PHO,@,GSW,L (-11),1,35:15:00,12,20,0.6,0,2,0,8,10,0.8,2,2,4,1,2,0,2,4,32,23.1,-14
69,42,2023-03-14,26-135,PHO,,MIL,L (-12),1,43:08:00,13,27,0.481,1,3,0.333,3,3,1,1,3,4,3,2,0,5,4,30,15.4,-7
70,43,2023-03-16,26-137,PHO,,ORL,W (+3),1,36:19:00,7,17,0.412,2,5,0.4,3,3,1,2,3,5,2,0,0,4,3,19,8.4,6
71,44,2023-03-19,26-140,PHO,@,OKC,L (-4),1,36:22:00,18,28,0.643,3,7,0.429,7,8,0.875,0,3,3,1,1,0,3,5,46,30.8,-5
72,45,2023-03-22,26-143,PHO,@,LAL,L (-11),1,40:33:00,11,16,0.688,1,3,0.333,10,12,0.833,0,6,6,5,0,0,7,4,33,22.1,0
73,46,2023-03-24,26-145,PHO,@,SAC,L (-8),1,33:10:00,10,16,0.625,0,1,0,12,14,0.857,1,7,8,5,0,0,2,4,32,26.7,-13
74,47,2023-03-25,26-146,PHO,,PHI,W (+20),1,31:39:00,9,18,0.5,2,4,0.5,9,9,1,0,3,3,5,0,1,4,2,29,20.3,8
75,48,2023-03-27,26-148,PHO,@,UTA,W (+14),1,33:31:00,7,19,0.368,2,6,0.333,8,8,1,4,3,7,5,2,1,4,3,24,18.2,10
76,49,2023-03-29,26-150,PHO,,MIN,W (+7),1,36:21:00,8,18,0.444,1,4,0.25,12,15,0.8,1,2,3,5,4,0,3,4,29,22.6,12
77,50,2023-03-31,26-152,PHO,,DEN,W (+7),1,35:04:00,9,20,0.45,2,9,0.222,7,8,0.875,0,2,2,6,1,0,4,2,27,17.2,
78,51,2023-04-02,26-154,PHO,@,OKC,W (+10),1,36:57:00,8,14,0.571,1,5,0.2,5,5,1,1,4,5,10,1,0,5,4,22,18.7,5
79,52,2023-04-04,26-156,PHO,,SAS,W (+21),1,32:53:00,9,21,0.429,2,10,0.2,7,8,0.875,0,7,7,3,3,0,2,2,27,19.9,5
80,53,2023-04-06,26-158,PHO,,DEN,W (+4),1,37:28:00,3,12,0.25,1,5,0.2,8,8,1,0,1,1,8,0,0,2,3,15,10.5,10
81,,2023-04-07,26-159,PHO,@,LAL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,,2023-04-09,26-161,PHO,,LAC,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-04-16,34-199,PHO,,LAC,L (-5),1,44:31:00,7,15,0.467,3,7,0.429,10,10,1,1,8,9,11,1,2,1,4,27,29.9,4
2,2,2023-04-18,34-201,PHO,,LAC,W (+14),1,44:26:00,10,19,0.526,0,4,0,5,6,0.833,1,5,6,5,1,2,5,2,25,17.6,10
3,3,2023-04-20,34-203,PHO,@,LAC,W (+5),1,41:30:00,8,15,0.533,1,3,0.333,11,11,1,0,6,6,5,2,0,6,0,28,22,1
4,4,2023-04-22,34-205,PHO,@,LAC,W (+12),1,44:33:00,9,17,0.529,3,4,0.75,10,11,0.909,1,10,11,6,0,0,3,3,31,26,12
5,5,2023-04-25,34-208,PHO,,LAC,W (+6),1,44:14:00,10,19,0.526,4,6,0.667,7,7,1,0,6,6,4,1,1,1,3,31,25.8,13
6,6,2023-04-29,34-212,PHO,@,DEN,L (-18),1,36:04:00,12,19,0.632,1,3,0.333,4,4,1,1,13,14,1,1,3,7,1,29,21.5,-20
7,7,2023-05-01,34-214,PHO,@,DEN,L (-10),1,44:23:00,10,27,0.37,2,12,0.167,2,2,1,1,7,8,3,1,2,2,4,24,12.8,-4
8,8,2023-05-05,34-218,PHO,,DEN,W (+7),1,43:21:00,12,31,0.387,1,5,0.2,14,16,0.875,0,9,9,8,0,2,0,4,39,29.4,11
9,9,2023-05-07,34-220,PHO,,DEN,W (+5),1,43:57:00,11,19,0.579,2,4,0.5,12,13,0.923,0,11,11,6,2,1,5,2,36,31.1,0
10,10,2023-05-09,34-222,PHO,@,DEN,L (-16),1,41:50:00,10,24,0.417,0,3,0,6,9,0.667,2,9,11,7,0,1,5,4,26,15.1,-19
11,11,2023-05-11,34-224,PHO,,DEN,L (-25),1,36:50:00,8,19,0.421,0,0,,7,7,1,0,5,5,5,0,1,4,2,23,13.8,-13
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-04-16,26-168,PHO,,LAC,L (-5),1,43:20:00,10,19,0.526,0,3,0,6,8,0.75,1,0,1,3,4,3,5,3,26,18.6,-6
2,2,2023-04-18,26-170,PHO,,LAC,W (+14),1,44:48:00,14,22,0.636,4,7,0.571,6,6,1,0,1,1,9,1,0,3,4,38,31.2,15
3,3,2023-04-20,26-172,PHO,@,LAC,W (+5),1,44:31:00,18,29,0.621,3,7,0.429,6,7,0.857,1,5,6,3,3,2,0,2,45,39.4,3
4,4,2023-04-22,26-174,PHO,@,LAC,W (+12),1,41:27:00,10,21,0.476,3,6,0.5,7,8,0.875,3,6,9,7,3,0,4,1,30,26.3,5
5,5,2023-04-25,26-177,PHO,,LAC,W (+6),1,41:39:00,19,27,0.704,4,7,0.571,5,6,0.833,2,6,8,10,2,0,3,4,47,42.9,11
6,6,2023-04-29,26-181,PHO,@,DEN,L (-18),1,40:06:00,10,19,0.526,0,1,0,7,8,0.875,2,2,4,8,1,2,3,1,27,23.9,-18
7,7,2023-05-01,26-183,PHO,@,DEN,L (-10),1,44:40:00,14,29,0.483,4,8,0.5,3,3,1,0,5,5,6,0,0,2,4,35,22.4,-7
8,8,2023-05-05,26-187,PHO,,DEN,W (+7),1,41:37:00,20,25,0.8,5,8,0.625,2,2,1,0,6,6,9,3,1,3,5,47,44.3,7
9,9,2023-05-07,26-189,PHO,,DEN,W (+5),1,40:29:00,14,18,0.778,3,4,0.75,5,6,0.833,3,3,6,12,1,0,5,5,36,34,-1
